,TreeType,ScientificName,Family,Type
91,黃金榕,Ficus esquiroliana H.Lév.,桑科,Native
92,椰子,Cocos nucifera L.,棕櫚科,Cultivated 
93,琴葉榕,Ficus lyrata Warb.,"	桑科",Cultivated 
94,吉野櫻,Prunus × yedoensis Matsum.,薔薇科,Cultivated 
95,桂花,Osmanthus fragrans Lour.,木犀科,Cultivated 
96,楊桃,Averrhoa carambola L.,酢漿草科,Cultivated 
97,檸檬桉,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,桃金孃科,Cultivated 
98,臺灣海桐,Pittosporum pentandrum (Blanco) Merr.,海桐科,Native
99,紅楠,Machilus thunbergii Siebold & Zucc.,樟科,Native
100,臺灣肖楠,Calocedrus formosana (Florin) Florin,柏科,Native
101,洋紫荊,Bauhinia purpurea L.,"	豆科",Naturalized 
102,香楠,Machilus zuihoensis Hayata,樟科,Native
103,芭樂,Psidium guajava L.,桃金孃科,Naturalized 
104,柚子,Citrus grandis Osbeck,芸香科,Cultivated 
105,石栗,Aleurites moluccana (L.) Willd.,大戟科,Cultivated 
106,檳榔,Areca catechu L.,棕櫚科,Cultivated 
107,扁柏,Chamaecyparis obtusa (Siebold & Zucc.) Endl.,柏科,Native
108,棍棒椰子,Hyophorbe verschaffeltii H.Wendl.,棕櫚科,Cultivated 
109,肯氏蒲桃,Syzygium cumini (L.) Skeels,桃金孃科,Naturalized 
110,亞歷山大椰子,Archontophoenix alexandrae (F.Muell.) Wendl. & Drude,棕櫚科,Cultivated 
111,肯氏南洋杉,Araucaria cunninghamii Sweet,南洋杉科,Cultivated 
112,酒瓶椰子,Hyophorbe lagenicaulis (L.H.Bailey) H.E.Moore,"棕櫚科	",Cultivated 
113,稜果榕,Ficus septica Burm.f.,桑科,Native
114,血桐,Macaranga tanarius (L.) Müll.Arg.,大戟科,Native
115,掌葉蘋婆,Sterculia foetida L.,錦葵科,Cultivated 
116,麵包樹,Artocarpus altilis (Park.) Forst.,桑科,Cultivated 
117,楊梅,Myrica rubra (Lour.) Siebold & Zucc.,楊梅科,Native
118,臺灣赤楠,Syzygium formosanum (Hayata) Mori,桃金孃科,Native
119,梅,Prunus mume (Siebold) Siebold & Zucc.,薔薇科,Naturalized 
120,黑松,Pinus thunbergii Parl.,松科,Cultivated 
121,槭葉翅子木,Pterospermum acerifolium Willd.,錦葵科,Cultivated 
122,肉桂,Cinnamomum cassia (L.) J.Presl,樟科,Cultivated 
123,濕地松,Pinus elliottii Engelm.,松科,Cultivated 
124,桑樹,Morus alba L.,桑科,Cultivated 
125,大葉桃花心木,Swietenia macrophylla King,楝科,Naturalized 
126,小葉南洋杉,Araucaria excelsa (Lamb.) R.Br.,南洋杉科,Cultivated 
127,華盛頓椰子,Washingtonia filifera (Lind. ex Audre) Wendl.,棕櫚科,Cultivated 
128,臺灣海棗,Phoenix hanceana Naudin,棕櫚科,Native
129,黃花風鈴木,Tabebuia chrysantha (Jacq.) G.Nicholson,紫葳科,Cultivated 
130,洋玉蘭,Magnolia grandiflora L.,木蘭科,Cultivated 
131,朴樹,Celtis sinensis Pers.,大麻科,Native
132,第倫桃,Dillenia indica L.,第倫桃科,Cultivated 
133,龍眼樹,Euphoria longana Lam.,無患子科,Naturalized 
134,蓮霧,Syzygium samarangense (Blume) Merr. & Perry,桃金孃科,Cultivated 
135,蠟腸樹,Kigelia pinnata (Jacq.) DC.,紫葳科,Cultivated 
136,木麻黃,Casuarina equisetifolia L.,木麻黃科,Naturalized 
137,玉蘭,Michelia alba DC.,木蘭科,Cultivated 
138,構樹,Broussonetia papyrifera (L.) L'Hér. ex Vent.,桑科,Native
139,緬梔,Plumeria rubra L. var. acutifolia (Poir.) ex Lam.) Bailey,夾竹桃科,Cultivated 
140,陰香,Cinnamomum burmannii (Nees & T.Nees) Blume,樟科,Naturalized 
141,青剛櫟,Quercus glauca Thunb.,殼斗科,Native
142,錫蘭橄欖,Elaeocarpus serratus L.,杜英科,Cultivated 
143,大葉桉,Eucalyptus robusta Smith,桃金孃科,Cultivated 
144,雀榕,Ficus subpisocarpa Gagnep.,桑科,Native
145,流蘇,Chionanthus retusus Lindl. & Paxt.,"	木犀科",Native
146,羊蹄甲,Bauhinia variegata L.,豆科,Naturalized 
147,洋紅風鈴木,Tabebuia pentaphylla (L.) Hemsl.,紫葳科,Cultivated 
148,龍柏,Juniperus chinensis L.,柏科,Native
149,馬拉巴栗,Pachira aquatica Aubl.,錦葵科,Naturalized 
150,大葉楠,Machilus kusanoi Hayata,樟科,Native
151,黃椰子,Chrysalidocarpus lutescens (Bory) Wendl.,棕櫚科,Cultivated 
152,無患子,Sapindus mukorossii Gaertn.,無患子科,Native
153,青楓,Acer serrulatum Hayata,無患子科,Native
154,鐵冬青,Ilex rotunda Thunb.,冬青科,Native
155,落羽松,Taxodium distichum (L.) Rich.,柏科,Cultivated 
156,大葉山欖,Palaquium formosanum Hayata,山欖科,Native
157,桃花心木,Swietenia mahogoni (L.) Jacq.,楝科,Naturalized 
158,猢猻木,Adansonia digitata L.,錦葵科,Cultivated 
159,刺桐,Erythrina variegata L.,豆科,Native
160,杜英,Elaeocarpus sylvestris (Lour.) Poir.,杜英科,Native
161,鳳凰木,Delonix regia (Hook.) Raf.,豆科,Naturalized 
162,富士櫻,Prunus serrulata f. classica Miyos.,"薔薇科	",Cultivated 
163,烏心石,Michelia compressa (Maxim.) Sarg.,木蘭科,Native
164,欖仁,Terminalia catappa L.,使君子科,Native
165,黃脈刺桐,Erythrina indica Lam. var. picta Graf.,豆科,Cultivated 
166,豔紫荊,Bauhinia blakeana Dunn,豆科,Cultivated 
167,火燄木,Spathodea campanulata Beauv.,"	紫葳科",Naturalized 
168,橡皮樹,Castilla elastica Cerv.,桑科,Cultivated 
169,羅比親王海棗,Phoenix roebelenii O'Brien,棕櫚科,Cultivated 
170,美人樹,Chorisia speciosa A.St.-Hil錦葵科,,Cultivated 
171,羅漢松,Podocarpus macrophyllus (Thunb.) Sweet,羅漢松科,Native
172,風鈴木,Tabebuia impetiginosa (Mart. ex DC.) Standl.,紫葳科,Cultivated 
173,福木,Garcinia subelliptica Merr.,藤黃科,Native
174,黃連木,"Pistacia chinensis Bunge	",漆樹科,Native
175,鐵刀木,Senna siamea (Lam.) Irwin & Barneby,豆科,Naturalized 
176,印度紫檀,Pterocarpus indicus Willd.,豆科,Cultivated 
177,臺灣櫸,Zelkova serrata (Thunb.) Makino,"榆科	",Native
178,九芎,Lagerstroemia subcostata Koehne,千屈菜科,Native
179,檬果,Mangifera indica L.,漆樹科,Naturalized 
180,蒲葵,Livistona chinensis R.Br.,棕櫚科,Native
181,紫薇,Lagerstroemia indica L.,千屈菜科,Cultivated 
182,烏桕,Triadica sebifera (L.) Small,大戟科,Naturalized 
183,阿勃勒,Cassia fistula L.,"豆科	",Cultivated 
184,榔榆,Ulmus parvifolia Jacq.,榆科,Native
185,垂榕,Ficus benjamina L.,桑科,Native
186,山櫻花,Prunus campanulata Maxim.,薔薇科,Native
187,盾柱木,Peltophorum pterocarpum (DC.) Backer ex K.Heyne,豆科,Cultivated 
188,苦楝,Melia azedarach L.,楝科,Native
189,菩提樹,Ficus religiosa L.,桑科,Naturalized 
190,光蠟樹,Fraxinus griffithii C.B.Clarke,木犀科,Native
191,大王椰子,Roystonea regia (Kunth) O.F.Cook,棕櫚科,Cultivated 
192,木棉,Bombax ceiba L.,錦葵科,Naturalized 
193,水黃皮,Millettia pinnata (L.) G.Panigrahi,豆科,Native
194,大花紫薇,Lagerstroemia speciosa (L.) Pers.,千屈菜科,Cultivated 
195,小葉欖仁,Terminalia mantalyi H.Perrier.,使君子科,Cultivated 
196,黑板樹,Alstonia scholaris (L.) R.Br.,夾竹桃科,Naturalized 
197,白千層,Melaleuca leucadendra,桃金孃科,Cultivated 
198,臺灣欒樹,Koelreuteria henryi Dummer,無患子科,Native
199,楓香,Liquidambar formosana Hance,蕈樹科,Native
200,樟樹,Cinnamomum camphora (L.) J.Presl,樟科,Native
201,茄苳,Bisxhofia javanica Blume,大戟科,Native
202,榕樹,Ficus microcarpa L. f.,桑科,Native
